uid,n_CP_visited,sum_fix_dur,mean_fix_dur,n_fixs,max_sum_reading_dur_per_content-page,mean_sum_reading_dur_per_content-page,mean_dur_per_RS,n_RS,sum_RF_dur,mean_RF_dur_per_CP,mean_n_RF_per_CP,mean_RF_dur,n_RF,max_y_of_RF,mean_y_of_RF,ratio_RF_per_fix,ratio_RF_dur_per_fix_dur,ratio_n_RF_per_n_RS,n_REG,mean_n_RS_per_CP,ratio_n_REG_per_n_RS,ratio_n_REG_per_sec,mean_len_RF_in_px,sum_len_RS_in_px,mean_len_REG_in_px,sum_len_REG_in_px,mean_len_RS_in_px,mean_dur_until_first_REG_per_RS,mean_rows_per_RS,session_count_unique_words,mean_len_RS_in_idx,sum_len_RS_in_idx,ratio_sum_len_RS_in_idx_per_reading_dur,mean_len_REG_in_idx,n_unique_words_read,n_words_read,ratio_n_unique_words_per_n_words,unique_words_per_sec,words_per_sec
93,1.0,11117.2,317.63428571428574,35.0,1017.9,1017.9,508.95,2.0,1017.9,1017.9,4.0,254.475,4.0,1495.65,1307.7125,0.11428571428571428,0.09156082466808188,2.0,0.0,2.0,0.0,0.0,62.50354592094248,250.01418368376991,,,125.00709184188496,,1.0,4.0,3.5,7.0,6.876903428627567,,9.0,9.0,1.0,8.841732979664014,8.841732979664014
95,2.0,37644.8,448.152380952381,84.0,3557.5,2396.55,958.6200000000001,5.0,4793.1,2396.55,6.0,399.425,12.0,2198.6,1609.4208333333333,0.14285714285714285,0.12732435821149268,2.4,0.0,2.5,0.0,0.0,117.29932848447503,1407.5919418137003,,,281.5183883627401,,1.0,12.0,4.2,21.0,4.38129811604181,,26.0,26.0,1.0,5.424464334147003,5.424464334147003
96,3.0,38317.3,387.0434343434344,99.0,3422.9,1858.966666666667,796.7,7.0,5576.9,1858.966666666667,5.333333333333333,348.55625,16.0,1821.4,872.965625,0.16161616161616163,0.1455452236979119,2.2857142857142856,0.0,2.3333333333333335,0.0,0.0,79.41354370117188,1270.61669921875,,,181.51667131696428,,1.0,16.0,3.7142857142857144,26.0,4.662088256916926,,33.0,33.0,1.0,5.917265864548406,5.917265864548406
98,3.0,24542.3,584.3404761904761,42.0,6915.1,4058.4,2029.1999999999998,4.0,8116.799999999999,4058.4,5.0,811.68,10.0,787.85,620.89,0.23809523809523808,0.33072694898196175,2.5,0.0,2.0,0.0,0.0,62.02203674763888,620.2203674763888,,,155.0550918690972,,1.0,9.0,4.0,16.0,1.9712201852946976,,20.0,20.0,1.0,2.464025231618372,2.464025231618372
100,3.0,99677.8,493.45445544554457,202.0,23588.8,8719.800000000001,1453.3000000000002,18.0,26159.4,8719.800000000001,18.666666666666668,467.13214285714287,56.0,1974.5,1023.7035714285714,0.27722772277227725,0.2624395803278162,3.111111111111111,2.0,6.0,0.1111111111111111,0.07645435292858398,80.29388206794557,4335.869631669061,97.03560019522038,194.07120039044077,240.8816462038368,342.3,1.2173913043478262,44.0,4.555555555555555,82.0,3.1346284700719433,5.0,86.0,100.0,0.86,3.287537175929111,3.8227176464291994
101,1.0,4023.1000000000004,502.88750000000005,8.0,951.4,951.4,951.4,1.0,951.4,951.4,2.0,475.7,2.0,372.8,370.5,0.25,0.23648430314931268,2.0,0.0,1.0,0.0,0.0,204.0274549544328,408.0549099088656,,,408.0549099088656,,1.0,2.0,3.0,3.0,3.153247845280639,,4.0,4.0,1.0,4.204330460374186,4.204330460374186
102,2.0,17807.5,434.3292682926829,41.0,2236.8,1736.45,1157.6333333333334,3.0,3472.9,1736.45,4.0,434.1125,8.0,963.95,844.74375,0.1951219512195122,0.19502456829987366,2.6666666666666665,0.0,1.5,0.0,0.0,84.75,678.0,,,226.0,,1.0,8.0,4.666666666666667,14.0,4.0312131072014745,,17.0,17.0,1.0,4.895044487316076,4.895044487316076
103,3.0,8764.3,350.57199999999995,25.0,1317.1999999999998,873.0333333333333,873.0333333333333,3.0,2619.1,873.0333333333333,2.0,436.51666666666665,6.0,979.15,698.0333333333333,0.24,0.29883732870851065,2.0,0.0,1.0,0.0,0.0,73.04769434396884,438.2861660638131,,,146.09538868793769,,1.0,6.0,3.3333333333333335,10.0,3.818105456072697,,13.0,13.0,1.0,4.963537092894506,4.963537092894506
104,6.0,72642.1,465.6544871794872,156.0,2820.5,2040.36,1275.225,8.0,10201.8,2040.36,4.4,463.7181818181818,22.0,1434.6,972.25,0.14102564102564102,0.14043922188372857,2.75,0.0,1.6,0.0,0.0,118.85742002792131,2614.8632406142688,,,326.8579050767836,,1.0666666666666667,21.0,5.0,40.0,3.920876708031916,,47.0,48.0,0.9791666666666666,4.607030131937502,4.705052049638299
105,3.0,50201.1,436.53130434782605,115.0,8612.4,4748.55,1899.42,5.0,9497.1,4748.55,8.5,558.6529411764706,17.0,1870.4,1055.0647058823529,0.14782608695652175,0.18918111356125664,3.4,2.0,2.5,0.4,0.21059060134146212,83.57666219075521,1253.6499328613281,154.64999389648438,309.29998779296875,250.72998657226563,467.35,1.0,17.0,5.0,25.0,2.6323825167682764,2.5,30.0,30.0,1.0,3.1588590201219318,3.1588590201219318
106,4.0,62771.7,410.2725490196078,153.0,4791.3,2821.4,940.4666666666667,6.0,5642.8,2821.4,7.5,376.18666666666667,15.0,1789.3,1082.2366666666667,0.09803921568627451,0.08989401274778284,2.5,0.0,3.0,0.0,0.0,57.92058335841677,868.8087503762515,,,144.8014583960419,,1.0,14.0,3.6666666666666665,22.0,3.8987736584674275,,28.0,28.0,1.0,4.962075565322181,4.962075565322181
108,4.0,48639.7,496.3234693877551,98.0,1986.6,1285.5,1285.5,2.0,2571.0,1285.5,3.5,367.2857142857143,7.0,1871.5,1825.1000000000001,0.07142857142857142,0.05285805627913001,3.5,2.0,1.0,1.0,0.7779074290159471,100.26308400785294,501.3154200392647,140.44803554462553,280.89607108925105,250.65771001963236,817.9,1.0,6.0,5.0,10.0,3.8895371450797356,3.0,12.0,12.0,1.0,4.667444574095682,4.667444574095682
109,1.0,23489.0,367.015625,64.0,4140.2,4140.2,1035.05,4.0,4140.2,4140.2,10.0,414.02,10.0,1446.15,816.895,0.15625,0.17626122866022392,2.5,2.0,4.0,0.5,0.48306845079947835,82.07475667275315,656.5980533820252,143.12774534065,286.2554906813,164.1495133455063,726.05,1.0,10.0,3.25,13.0,3.139944930196609,2.5,17.0,17.0,1.0,4.106081831795565,4.106081831795565
110,3.0,35886.8,320.41785714285714,112.0,3672.1,2999.366666666667,899.8100000000001,10.0,8998.1,2999.366666666667,10.333333333333334,290.26129032258063,31.0,1671.35,697.2741935483871,0.2767857142857143,0.250735646532987,3.1,2.0,3.3333333333333335,0.2,0.22226914570853845,94.4703433924656,2739.6399583815023,203.10820528242067,406.21641056484134,273.96399583815025,376.05,1.0666666666666667,29.0,5.2,52.0,5.778997788422,3.5,62.0,62.0,1.0,6.890343516964693,6.890343516964693
111,2.0,26337.2,411.51875,64.0,2954.1,2261.5,904.6,5.0,4523.0,2261.5,7.0,323.07142857142856,14.0,1124.95,621.8464285714286,0.21875,0.17173427699223912,2.8,0.0,2.5,0.0,0.0,75.55960469805366,1057.8344657727512,,,211.56689315455023,,1.2,14.0,4.6,23.0,5.085120495246517,,28.0,28.0,1.0,6.190581472474022,6.190581472474022
112,6.0,26959.3,385.1328571428571,70.0,2555.8,2555.8,1277.9,2.0,2555.8,2555.8,6.0,425.9666666666667,6.0,353.9,225.98333333333332,0.08571428571428572,0.09480216474463359,3.0,0.0,2.0,0.0,0.0,94.14712816087096,564.8827689652258,,,282.4413844826129,,1.0,6.0,4.5,9.0,3.5214023006495028,,11.0,11.0,1.0,4.303936145238281,4.303936145238281
113,4.0,40291.8,457.86136363636365,88.0,2520.8,1844.7000000000003,1844.7000000000003,2.0,3689.4,1844.7000000000003,3.5,527.0571428571428,7.0,759.45,566.0357142857143,0.07954545454545454,0.09156701859931797,3.5,0.0,1.0,0.0,0.0,67.38807517795097,471.7165262456568,,,235.8582631228284,,1.0,7.0,5.0,10.0,2.7104678267468962,,12.0,12.0,1.0,3.252561392096276,3.252561392096276
114,3.0,53600.2,372.2236111111111,144.0,5341.3,3096.35,1032.1166666666666,6.0,6192.7,3096.35,9.0,344.0388888888889,18.0,1820.0,780.375,0.125,0.1155350166603856,3.0,1.0,3.0,0.16666666666666666,0.16148045279118964,62.54609243377019,1063.2835713740933,122.04998779296876,122.04998779296876,177.21392856234888,517.5,1.0,17.0,4.666666666666667,28.0,4.5214526781533095,2.0,34.0,34.0,1.0,5.490335394900447,5.490335394900447
115,7.0,59648.5,426.0607142857143,140.0,7027.6,2597.62,1443.1222222222223,9.0,12988.1,2597.62,6.0,432.93666666666667,30.0,1111.0,445.835,0.21428571428571427,0.2177439499735953,3.3333333333333335,4.0,1.8,0.4444444444444444,0.3079742225575719,91.06431638429397,2367.6722259916432,151.35822503365418,605.4329001346167,263.07469177684925,534.1666666666666,1.0833333333333333,26.0,4.777777777777778,43.0,3.310722892493898,3.25,51.0,52.0,0.9807692307692307,3.926671337609042,4.003664893248435
116,2.0,59161.9,425.6251798561151,139.0,8514.1,7177.85,2392.616666666667,6.0,14355.7,7177.85,13.5,531.6925925925926,27.0,1066.95,359.8,0.19424460431654678,0.24265109808846572,4.5,2.0,3.0,0.3333333333333333,0.13931748364761035,136.5274155538905,3413.185388847263,308.2376377746856,616.4752755493712,568.8642314745438,459.15,1.1111111111111112,17.0,5.0,30.0,2.0897622547141554,5.0,33.0,36.0,0.9166666666666666,2.298738480185571,2.507714705656986
117,4.0,62097.5,405.86601307189545,153.0,9525.8,7742.599999999999,1191.1692307692308,13.0,15485.2,7742.599999999999,18.0,430.14444444444445,36.0,2130.25,902.276388888889,0.23529411764705882,0.2493691372438504,2.769230769230769,0.0,6.5,0.0,0.0,100.14880166231252,3605.3568598432507,,,277.33514306486546,,1.125,34.0,4.538461538461538,59.0,3.810089633973084,,68.0,72.0,0.9444444444444444,4.391289747629995,4.649600909255288
118,2.0,49377.3,493.773,100.0,6394.0,6226.05,2490.4199999999996,5.0,12452.1,6226.05,7.5,830.14,15.0,2101.35,1356.3066666666666,0.15,0.2521826831357729,3.0,2.0,2.5,0.4,0.16061547851366437,77.72596436876796,1010.4375367939836,159.50955686920054,319.0191137384011,202.0875073587967,751.2,1.1428571428571428,12.0,3.8,19.0,1.5258470458798115,3.5,23.0,24.0,0.9583333333333334,1.84707800290714,1.9273857421639722
119,5.0,53617.5,388.5326086956522,138.0,7538.5,7538.5,942.3125,8.0,7538.5,7538.5,20.0,376.925,20.0,950.95,671.5274999999999,0.14492753623188406,0.14059775259943116,2.5,0.0,8.0,0.0,0.0,77.959332075634,1559.18664151268,,,194.898330189085,,1.375,17.0,4.125,33.0,4.377528686078132,,31.0,41.0,0.7560975609756098,4.112223917224912,5.438747761491013
120,2.0,8582.8,536.425,16.0,2688.2,2688.2,2688.2,1.0,2688.2,2688.2,4.0,672.05,4.0,401.05,381.05,0.25,0.31320781097077877,4.0,0.0,1.0,0.0,0.0,51.30416488647461,205.21665954589844,,,205.21665954589844,,1.0,2.0,3.0,3.0,1.1159883937207054,,4.0,4.0,1.0,1.4879845249609405,1.4879845249609405
122,2.0,5769.6,384.64000000000004,15.0,651.2,651.2,651.2,1.0,651.2,651.2,2.0,325.6,2.0,872.8499999999999,862.925,0.13333333333333333,0.11286744315030504,2.0,0.0,1.0,0.0,0.0,85.0,170.0,,,170.0,,1.0,2.0,4.0,4.0,6.142506142506142,,5.0,5.0,1.0,7.678132678132678,7.678132678132678
123,8.0,55818.5,401.5719424460432,139.0,4273.6,2524.85,1009.9399999999999,10.0,10099.4,2524.85,6.75,374.05185185185184,27.0,1696.35,806.4240740740742,0.19424460431654678,0.18093284484534697,2.7,1.0,2.5,0.1,0.09901578311582866,87.23789734595843,2268.1853309949192,223.0,223.0,226.81853309949193,1285.4,1.0833333333333333,26.0,5.1,51.0,5.049804938907262,3.0,57.0,61.0,0.9344262295081968,5.643899637602234,6.039962770065549
124,1.0,35859.1,498.04305555555555,72.0,7307.2,7307.2,1217.8666666666666,6.0,7307.2,7307.2,17.0,429.83529411764704,17.0,2149.0,1278.7058823529412,0.2361111111111111,0.2037753317846795,2.8333333333333335,1.0,6.0,0.16666666666666666,0.1368513247208233,95.29757481276042,1524.7611970041667,251.40604606890423,251.40604606890423,254.1268661673611,1001.6,1.0,17.0,4.5,27.0,3.6949857674622293,2.0,33.0,33.0,1.0,4.516093715787169,4.516093715787169
126,9.0,39761.2,441.7911111111111,90.0,5275.2,3597.45,2398.3,3.0,7194.9,3597.45,5.5,654.0818181818181,11.0,1969.2,1631.059090909091,0.12222222222222222,0.180952788145227,3.6666666666666665,0.0,1.5,0.0,0.0,68.95454545454545,758.5,,,252.83333333333334,,1.0,11.0,8.0,24.0,3.335696118083643,,27.0,27.0,1.0,3.752658132844098,3.752658132844098
127,6.0,92836.3,398.43905579399143,233.0,11334.6,5178.96,1362.8842105263157,19.0,25894.8,5178.96,12.6,411.0285714285714,63.0,2189.55,1408.2261904761904,0.2703862660944206,0.27892968590949874,3.3157894736842106,4.0,3.8,0.21052631578947367,0.1544711679565009,95.36310862767813,5626.42340903301,147.5770803711529,590.3083214846116,296.12754784384265,592.5,1.1481481481481481,55.0,4.894736842105263,93.0,3.5914546549886466,2.0,103.0,112.0,0.9196428571428571,3.977632574879899,4.325192702782026
128,4.0,41141.5,489.7797619047619,84.0,9027.6,9027.6,2256.9,4.0,9027.6,9027.6,15.0,601.84,15.0,1058.5500000000002,849.1333333333333,0.17857142857142858,0.21942807141207785,3.75,2.0,4.0,0.5,0.22154282422792324,80.72988033589985,1049.488444366698,175.0500030517578,350.1000061035156,262.3721110916746,550.95,1.2,13.0,5.25,21.0,2.326199654393194,4.0,25.0,25.0,1.0,2.769285302849041,2.769285302849041
