uid,n_CP_visited,sum_fix_dur,mean_fix_dur,n_fixs,max_sum_reading_dur_per_content-page,mean_sum_reading_dur_per_content-page,mean_dur_per_RS,n_RS,sum_RF_dur,mean_RF_dur_per_CP,mean_n_RF_per_CP,mean_RF_dur,n_RF,max_y_of_RF,mean_y_of_RF,ratio_RF_per_fix,ratio_RF_dur_per_fix_dur,ratio_n_RF_per_n_RS,n_REG,mean_n_RS_per_CP,ratio_n_REG_per_n_RS,ratio_n_REG_per_sec,mean_len_RF_in_px,sum_len_RS_in_px,mean_len_REG_in_px,sum_len_REG_in_px,mean_len_RS_in_px,mean_dur_until_first_REG_per_RS,mean_rows_per_RS,session_count_unique_words,mean_len_RS_in_idx,sum_len_RS_in_idx,ratio_sum_len_RS_in_idx_per_reading_dur,mean_len_REG_in_idx,n_unique_words_read,n_words_read,ratio_n_unique_words_per_n_words,unique_words_per_sec,words_per_sec
24,3.0,198009.6,413.3812108559499,479.0,36986.3,24083.5,1762.2073170731708,41.0,72250.5,24083.5,55.333333333333336,435.24397590361446,166.0,1914.35,1161.0548192771084,0.3465553235908142,0.36488382381460294,4.048780487804878,13.0,13.666666666666666,0.3170731707317073,0.17992955066054905,103.50620039914119,15836.448661068604,189.88020493229234,2468.4426641198006,386.2548453919172,332.6125,1.6764705882352942,119.0,5.7073170731707314,234.0,3.238731911889883,3.923076923076923,218.0,275.0,0.7927272727272727,3.017280157230746,3.8062020332039226
25,5.0,142343.6,382.6440860215054,372.0,15079.0,9331.539999999999,1505.0870967741935,31.0,46657.7,9331.539999999999,23.6,395.40423728813556,118.0,2577.7,1263.8661016949154,0.3172043010752688,0.32778221149387815,3.806451612903226,11.0,6.2,0.3548387096774194,0.2357595852345915,104.14302401743029,11143.303569865042,257.5701753978496,2833.2719293763453,359.4614054795175,242.91428571428574,1.05,102.0,4.967741935483871,154.0,3.300634193284281,3.6363636363636362,185.0,185.0,1.0,3.9650475698544936,3.9650475698544936
26,9.0,363985.7,364.71513026052105,998.0,28903.6,18312.0,1458.4778761061948,113.0,164808.0,18312.0,52.55555555555556,348.43128964059196,473.0,2655.85,1038.6081395348838,0.47394789579158314,0.45278701883068484,4.185840707964601,21.0,12.555555555555555,0.18584070796460178,0.12742099898063203,111.16762358225307,50247.76585917839,212.77302093991824,4468.233439738283,444.6704943290123,512.05,1.490566037735849,386.0,6.628318584070796,749.0,4.544682296975875,5.238095238095238,736.0,862.0,0.8538283062645011,4.465802630940246,5.230328624824037
27,8.0,93998.6,393.29958158995817,239.0,7020.5,3640.9,1011.3611111111111,18.0,18204.5,3640.9,11.0,330.9909090909091,55.0,2371.95,813.0163636363636,0.2301255230125523,0.19366777803073662,3.0555555555555554,3.0,3.6,0.16666666666666666,0.16479441896234448,111.96185349913402,5822.016381954969,116.62221272786458,349.86663818359375,323.44535455305385,484.93333333333334,1.1304347826086956,44.0,3.888888888888889,70.0,3.845203109121371,1.3333333333333333,86.0,88.0,0.9772727272727273,4.724106676920542,4.833969622895438
28,2.0,78723.4,480.02073170731705,164.0,37757.1,20380.8,1852.8,22.0,40761.6,20380.8,41.5,491.1036144578313,83.0,1111.1,719.7132530120482,0.5060975609756098,0.5177825144747306,3.772727272727273,5.0,11.0,0.22727272727272727,0.12266446851939079,99.54431389194912,7764.456483572031,228.53665771484376,1142.6832885742188,352.92984016236505,527.7,1.4285714285714286,67.0,6.0,132.0,3.238341968911917,5.4,130.0,154.0,0.8441558441558441,3.189276181504161,3.778065630397237
29,8.0,441121.6,381.59307958477507,1156.0,69276.9,28088.0,1571.3566433566434,143.0,224704.0,28088.0,73.25,383.4539249146758,586.0,3496.25,1110.7453071672355,0.5069204152249135,0.5093924215001034,4.0979020979020975,33.0,17.875,0.23076923076923078,0.14685986898319567,105.62827821781626,58412.43785445239,228.70480180701534,7547.258459631506,408.478586394772,337.5777777777778,1.4779411764705883,463.0,5.8671328671328675,839.0,3.7338009114212474,4.2727272727272725,841.0,982.0,0.8564154786150713,3.7427015095414413,4.370193677015096
32,6.0,61489.6,370.41927710843373,166.0,16009.8,4789.683333333333,1690.4764705882353,17.0,28738.1,4789.683333333333,12.5,383.17466666666667,75.0,2257.75,665.3906666666666,0.45180722891566266,0.4673652129791054,4.411764705882353,2.0,2.8333333333333335,0.11764705882352941,0.06959402326528198,100.85752323636069,7362.59919625433,376.933349609375,753.86669921875,433.0940703679018,325.5,1.1176470588235294,72.0,7.352941176470588,125.0,4.3496264540801235,7.5,139.0,142.0,0.9788732394366197,4.836784616937098,4.941175651835021
33,10.0,144848.3,415.03810888252144,349.0,19831.4,6297.055555555556,1453.1666666666667,39.0,56673.5,6297.055555555556,14.333333333333334,439.32945736434107,129.0,2545.05,819.8891472868216,0.36962750716332377,0.3912610641616091,3.3076923076923075,3.0,4.333333333333333,0.07692307692307693,0.05293479315729574,105.26803435153826,13263.77232829382,187.3235830800053,561.970749240016,340.0967263665082,578.6666666666666,1.1702127659574468,117.0,5.743589743589744,224.0,3.9524645557447484,4.0,252.0,263.0,0.9581749049429658,4.446522625212842,4.6406168667895935
34,2.0,652540.6,470.1301152737752,1388.0,236374.5,150254.1,1977.0276315789474,152.0,300508.2,150254.1,295.0,509.33593220338986,590.0,2286.65,1456.635254237288,0.4250720461095101,0.46052031092011747,3.8815789473684212,45.0,76.0,0.29605263157894735,0.14974632971745863,108.03734981235232,58880.355647732016,240.0527447485261,10802.373513683675,387.3707608403422,601.3941176470589,2.9705882352941178,310.0,5.3881578947368425,819.0,2.7253832008577468,3.4,455.0,971.0,0.4685890834191555,1.5141017782543038,3.2311930256811627
35,15.0,248014.2,468.8359168241966,529.0,36257.7,12010.858333333332,2030.0042253521126,71.0,144130.3,12010.858333333332,23.916666666666668,502.1961672473867,287.0,2396.85,881.4060975609756,0.5425330812854442,0.5811372897197015,4.042253521126761,13.0,5.916666666666667,0.18309859154929578,0.0901961627777088,116.33576173929349,31875.998716566417,197.03277059256033,2561.4260177032843,448.9577284023439,477.8384615384615,1.2619047619047619,241.0,6.647887323943662,472.0,3.2748145254675807,3.6923076923076925,496.0,543.0,0.9134438305709024,3.441330518287966,3.767424337561221
