uid,n_CP_visited,sum_fix_dur,mean_fix_dur,n_fixs,max_sum_reading_dur_per_content-page,mean_sum_reading_dur_per_content-page,mean_dur_per_RS,n_RS,sum_RF_dur,mean_RF_dur_per_CP,mean_n_RF_per_CP,mean_RF_dur,n_RF,max_y_of_RF,mean_y_of_RF,ratio_RF_per_fix,ratio_RF_dur_per_fix_dur,ratio_n_RF_per_n_RS,n_REG,mean_n_RS_per_CP,ratio_n_REG_per_n_RS,ratio_n_REG_per_sec,mean_len_RF_in_px,sum_len_RS_in_px,mean_len_REG_in_px,sum_len_REG_in_px,mean_len_RS_in_px,mean_dur_until_first_REG_per_RS
35,3.0,78061.4,402.37835051546386,194.0,4489.9,2962.6499999999996,1975.0999999999997,3.0,5925.3,2962.6499999999996,6.5,455.7923076923077,13.0,1256.05,859.3461538461538,0.06701030927835051,0.07590563325792261,4.333333333333333,0.0,1.5,0.0,0.0,88.924378405245,1156.016919268185,,,385.338973089395,
36,1.0,43698.0,400.89908256880733,109.0,283.7,283.7,283.7,1.0,283.7,283.7,1.0,283.7,1.0,355.95000000000005,355.95000000000005,0.009174311926605505,0.006492287976566433,1.0,1.0,1.0,1.0,3.5248501938667607,,,117.2273005745676,117.2273005745676,,283.7
37,6.0,66471.5,474.7964285714286,140.0,4456.7,3605.6499999999996,3605.6499999999996,2.0,7211.3,3605.6499999999996,4.0,901.4125,8.0,637.7,380.6375,0.05714285714285714,0.10848709597346232,4.0,2.0,1.0,1.0,0.27734250412546974,70.88026825781243,425.28160954687456,153.78431113310444,307.5686222662089,212.6408047734373,659.4000000000001
44,7.0,115316.3,404.61859649122806,285.0,1352.3,1185.25,1185.25,2.0,2370.5,1185.25,4.0,296.3125,8.0,1114.75,798.3375000000001,0.028070175438596492,0.020556504154226246,4.0,0.0,1.0,0.0,0.0,83.74440376701368,669.9552301361094,,,334.9776150680547,
46,5.0,393327.8,484.99112207151666,811.0,12453.2,6950.0,4170.0,5.0,20850.0,6950.0,9.666666666666666,718.9655172413793,29.0,2026.0,889.2931034482758,0.035758323057953144,0.05300922029920082,5.8,6.0,1.6666666666666667,1.2,0.28776978417266186,58.004099904238316,1334.0942977974812,84.35907859920924,506.1544715952554,266.8188595594962,589.7666666666667
48,1.0,64898.6,341.57157894736844,190.0,4389.8,4389.8,1463.2666666666667,3.0,4389.8,4389.8,13.0,337.6769230769231,13.0,1094.6,914.0769230769231,0.06842105263157895,0.06764090442628963,4.333333333333333,0.0,3.0,0.0,0.0,83.5780500143775,1086.5146501869074,,,362.17155006230246,
55,3.0,94435.2,414.1894736842105,228.0,917.2,917.2,917.2,1.0,917.2,917.2,3.0,305.73333333333335,3.0,504.5,497.7666666666667,0.013157894736842105,0.009712480092169023,3.0,0.0,1.0,0.0,0.0,79.77606241927603,239.3281872578281,,,239.3281872578281,
57,5.0,78061.1,419.68333333333334,186.0,1402.1000000000001,1402.1000000000001,1402.1000000000001,1.0,1402.1000000000001,1402.1000000000001,4.0,350.52500000000003,4.0,573.95,569.4375,0.021505376344086023,0.017961571128257223,4.0,0.0,1.0,0.0,0.0,81.48168522408362,325.9267408963345,,,325.9267408963345,
60,1.0,25590.4,355.4222222222222,72.0,1218.9,1218.9,1218.9,1.0,1218.9,1218.9,4.0,304.725,4.0,1541.55,1522.9125,0.05555555555555555,0.04763114292859823,4.0,0.0,1.0,0.0,0.0,89.66057240388054,358.64228961552215,,,358.64228961552215,
62,5.0,32073.8,493.4430769230769,65.0,1418.5,1418.5,1418.5,1.0,1418.5,1418.5,3.0,472.8333333333333,3.0,215.05,205.1,0.046153846153846156,0.04422612849116725,3.0,0.0,1.0,0.0,0.0,102.00816880554544,306.0245064166363,,,306.0245064166363,
