uid,n_CP_visited,sum_fix_dur,mean_fix_dur,n_fixs,max_sum_reading_dur_per_content-page,mean_sum_reading_dur_per_content-page,mean_dur_per_RS,n_RS,sum_RF_dur,mean_RF_dur_per_CP,mean_n_RF_per_CP,mean_RF_dur,n_RF,max_y_of_RF,mean_y_of_RF,ratio_RF_per_fix,ratio_RF_dur_per_fix_dur,ratio_n_RF_per_n_RS,n_REG,mean_n_RS_per_CP,ratio_n_REG_per_n_RS,ratio_n_REG_per_sec,mean_len_RF_in_px,sum_len_RS_in_px,mean_len_REG_in_px,sum_len_REG_in_px,mean_len_RS_in_px,mean_dur_until_first_REG_per_RS,mean_rows_per_RS,session_count_unique_words,mean_len_RS_in_idx,sum_len_RS_in_idx,ratio_sum_len_RS_in_idx_per_reading_dur,mean_len_REG_in_idx,n_unique_words_read,n_words_read,ratio_n_unique_words_per_n_words,unique_words_per_sec,words_per_sec
13,9,430849.4,579.0986559139785,744,66435.7,36033.95,1880.0321739130436,115,216203.7,36033.95,63.333333333333336,568.9571052631579,380,3398.55,1343.2775,0.510752688172043,0.5018080563649386,3.3043478260869565,20,19.166666666666668,0.17391304347826086,0.09250535490373198,133.05727195514655,47900.617903852755,279.55883758678857,5591.176751735771,416.52711220741526,588.8444444444444,1.7701149425287357,301,5.747826086956522,661,3.0573019795683423,4.5,605,776,0.779639175257732,2.7982869858378927,3.589207770264801
15,8,741858.6,675.6453551912568,1098,251215.3,50701.47142857143,2648.584328358209,134,354910.3,50701.47142857143,74.14285714285714,683.8348747591522,519,3812.1,1628.2631021194607,0.4726775956284153,0.4784069363083477,3.873134328358209,37,19.142857142857142,0.27611940298507465,0.10425169401958749,116.28666685003266,56050.17342171574,248.5324268740425,9195.699794339573,418.28487628146075,680.9875000000001,2.0238095238095237,340,5.835820895522388,782,2.203373641170741,4.108108108108108,598,916,0.6528384279475983,1.6849327844246842,2.5809338303227602
16,11,401866.2,552.7733149931224,727,61881.3,16744.744444444445,2318.503076923077,65,150702.7,16744.744444444445,28.333333333333332,590.9909803921569,255,3144.15,840.3319607843137,0.35075653370013754,0.3750071541224418,3.923076923076923,29,7.222222222222222,0.4461538461538462,0.19243185424016954,94.60239346170965,21380.14092234638,158.76760789778075,4604.260629035642,328.9252449591751,700.5473684210526,2.066666666666667,155,4.969230769230769,323,2.143292721364647,3.0689655172413794,264,388,0.6804123711340206,1.7517934317036123,2.5746054981098543
17,19,506070.9,448.64441489361707,1128,37659.8,12843.723076923077,1451.8991304347826,115,166968.4,12843.723076923077,30.46153846153846,421.6373737373737,396,5285.75,964.2522727272728,0.35106382978723405,0.32993084565818737,3.4434782608695653,30,8.846153846153847,0.2608695652173913,0.17967471689253778,98.55728695696877,36071.96702625057,223.37637411901693,6701.291223570508,313.66927848913537,479.00454545454545,1.5930232558139534,315,5.104347826086957,587,3.5156352938639888,3.3666666666666667,577,702,0.8219373219373219,3.455743721566476,4.204388375285383
19,16,504843.2,571.7363533408834,883,48492.0,18192.725,1865.9205128205126,78,145541.8,18192.725,32.375,561.9374517374517,259,13122.25,1968.9119691119693,0.29331823329558326,0.28829109711688694,3.3205128205128207,2,9.75,0.02564102564102564,0.013741756663721351,91.529083493657,23522.97445786985,107.6083374023437,215.2166748046874,301.576595613716,909.5,1.353846153846154,235,5.576923076923077,435,2.9888320743593937,3.0,449,513,0.8752436647173489,3.0850243710054435,3.5247605842445267
21,7,586922.0,516.2022867194371,1137,142844.2,43011.41428571429,2595.516379310345,116,301079.9,43011.41428571429,68.42857142857143,628.5592901878915,479,3917.9,1234.7587682672233,0.4212840809146878,0.5129811116298247,4.129310344827586,28,16.571428571428573,0.2413793103448276,0.0929985694827187,114.74482903219904,51749.917893521764,205.36130589831626,5750.116565152855,446.11998184070484,644.5043478260869,1.5175438596491229,392,6.413793103448276,744,2.471104846255097,3.857142857142857,732,860,0.8511627906976744,2.431248316476789,2.8563846341120747
22,12,735905.7,399.5144951140065,1842,213766.6,45726.514285714286,1916.680239520958,167,320085.6,45726.514285714286,99.85714285714286,457.919313304721,699,2243.2,862.592703862661,0.3794788273615635,0.43495464160693414,4.18562874251497,61,23.857142857142858,0.3652694610778443,0.19057402144926233,101.81960481783966,64960.9078737817,181.83975798656357,11092.225237180377,388.987472298094,394.23829787234047,2.488888888888889,402,5.832335329341317,974,3.04293601461609,3.557377049180328,637,1141,0.558282208588957,1.9900926502160674,3.5646714503870216
23,8,164344.3,465.56458923512747,353,57743.2,16049.36,2168.8324324324326,37,80246.8,16049.36,32.0,501.5425,160,3467.65,1471.316875,0.45325779036827196,0.4882846560543932,4.324324324324325,13,7.4,0.35135135135135137,0.16200022929263222,111.97639810768159,16460.530521829194,205.93207233963795,2677.1169404152934,444.8792032926809,1240.3,1.2894736842105263,130,6.864864864864865,254,3.165235249256045,3.8461538461538463,261,291,0.8969072164948454,3.2524661419520777,3.6263128249350753
24,7,263345.4,386.7039647577093,681,36986.3,19042.225000000002,1731.1113636363634,44,76168.9,19042.225000000002,44.0,432.77784090909086,176,1914.35,1118.4624999999999,0.25844346549192365,0.28923573375498485,4.0,14,11.0,0.3181818181818182,0.18380205044315986,98.77415300931844,16001.412787509587,177.8340001087246,2489.6760015221444,363.6684724433997,337.43333333333334,1.7027027027027026,125,5.568181818181818,245,3.216535882755298,3.7142857142857144,224,289,0.7750865051903114,2.940832807090558,3.794199469862372
25,10,225415.1,380.76875,592,15079.0,8581.028571428571,1465.0536585365853,41,60067.2,8581.028571428571,21.285714285714285,403.13557046979867,149,2577.7,1104.8805369127517,0.2516891891891892,0.26647371893009825,3.6341463414634148,12,5.857142857142857,0.2926829268292683,0.19977625059932877,91.29981263098949,12508.074330445561,251.11092767355203,3013.331132082624,305.07498366940393,248.6125,1.05,128,4.780487804878049,196,3.2630120931223696,3.4166666666666665,236,237,0.9957805907172996,3.9289329284534658,3.9455809493367426
