uid,n_CP_visited,sum_fix_dur,mean_fix_dur,n_fixs,max_sum_reading_dur_per_content-page,mean_sum_reading_dur_per_content-page,mean_dur_per_RS,n_RS,sum_RF_dur,mean_RF_dur_per_CP,mean_n_RF_per_CP,mean_RF_dur,n_RF,max_y_of_RF,mean_y_of_RF,ratio_RF_per_fix,ratio_RF_dur_per_fix_dur,ratio_n_RF_per_n_RS,n_REG,mean_n_RS_per_CP,ratio_n_REG_per_n_RS,ratio_n_REG_per_sec,mean_len_RF_in_px,sum_len_RS_in_px,mean_len_REG_in_px,sum_len_REG_in_px,mean_len_RS_in_px,mean_dur_until_first_REG_per_RS
30,5.0,246283.8,449.4229927007299,548.0,37746.4,25077.525,3582.503571428572,28.0,100310.1,25077.525,53.25,470.9394366197183,213.0,2227.15,930.9255868544601,0.3886861313868613,0.4072947550752425,7.607142857142857,15.0,7.0,0.5357142857142857,0.1495362879710019,59.48591683471548,11778.211533273665,117.03617031960518,1755.5425547940777,420.6504119026309,383.96000000000004
32,6.0,65925.9,366.255,180.0,13788.4,5439.575,2417.588888888889,9.0,21758.3,5439.575,14.25,381.72456140350874,57.0,947.1,637.7228070175438,0.31666666666666665,0.3300417590051861,6.333333333333333,6.0,2.25,0.6666666666666666,0.27575683762058617,97.92354696777295,4994.100895356421,298.9300321418421,1793.5801928510527,554.9000994840467,439.5333333333333
33,11.0,310553.4,434.94873949579835,714.0,6510.5,3886.12,1943.06,10.0,19430.6,3886.12,8.6,451.8744186046511,43.0,1320.75,608.1976744186046,0.06022408963585434,0.06256766147142487,4.3,3.0,2.0,0.3,0.15439564398423108,81.94065637647188,3277.6262550588754,160.04404596685845,480.13213790057534,327.7626255058875,367.26666666666665
34,2.0,680438.7,465.7349075975359,1461.0,68258.6,44938.15,2643.4205882352944,34.0,89876.3,44938.15,86.5,519.5161849710983,173.0,2268.6,1428.142196531792,0.11841204654346338,0.13208581463693939,5.088235294117647,15.0,17.0,0.4411764705882353,0.16689605602366808,83.09825761863526,13129.524703744371,144.4307866948354,2166.4618004225313,386.16249128659916,838.3555555555555
35,16.0,401995.0,498.7531017369727,806.0,12019.1,6689.314285714286,2128.418181818182,22.0,46825.2,6689.314285714286,13.571428571428571,492.89684210526315,95.0,1385.75,862.0247368421053,0.11786600496277916,0.11648204579658951,4.318181818181818,4.0,3.142857142857143,0.18181818181818182,0.08542408788430161,84.02323950365107,7646.114794832247,164.46047275717797,657.8418910287119,347.5506724923749,404.8
36,4.0,331124.5,419.14493670886077,790.0,35666.7,18021.0,2079.346153846154,26.0,54063.0,18021.0,43.666666666666664,412.69465648854964,131.0,1422.0500000000002,853.1576335877862,0.16582278481012658,0.163270914716368,5.038461538461538,9.0,8.666666666666666,0.34615384615384615,0.166472448809722,84.71229179519004,10334.899599013184,118.46521451796895,1066.1869306617205,397.496138423584,433.0375
37,7.0,543510.0,507.95327102803736,1070.0,17293.7,9473.6,2706.7428571428572,21.0,56841.6,9473.6,19.333333333333332,490.0137931034483,116.0,1279.75,801.8948275862069,0.10841121495327102,0.10458243638571507,5.523809523809524,19.0,3.5,0.9047619047619048,0.3342622304790857,83.08052123486456,8058.810559781862,143.6978281607477,2730.258735054206,383.75288379913627,632.7615384615384
38,5.0,517271.8,471.10364298724954,1098.0,104217.4,38888.719999999994,2777.7657142857142,70.0,194443.6,38888.719999999994,76.0,511.6936842105263,380.0,1782.4,790.4396052631579,0.3460837887067395,0.37590218527281016,5.428571428571429,19.0,14.0,0.2714285714285714,0.09771471007531234,74.88476909079692,27033.40164177769,100.27067581637263,1905.14284051108,386.19145202539556,434.99411764705883
40,5.0,411925.6,405.8380295566502,1015.0,21734.0,10663.640000000001,1904.2214285714285,28.0,53318.2,10663.640000000001,29.0,367.711724137931,145.0,3498.4,1297.999655172414,0.14285714285714285,0.12943648076254546,5.178571428571429,13.0,5.6,0.4642857142857143,0.243819183693373,90.59700847314696,11958.805118455399,146.9908660468789,1910.8812586094255,427.1001828019785,388.075
41,1.0,65003.3,325.0165,200.0,6443.900000000001,6443.900000000001,1288.78,5.0,6443.900000000001,6443.900000000001,23.0,280.1695652173913,23.0,927.3,790.1369565217392,0.115,0.09913189022711155,4.6,1.0,5.0,0.2,0.1551855242942938,89.14575649756475,1961.2066429464244,78.54987269244933,78.54987269244933,392.2413285892848,667.7
